date,content,reply_count,retweet_count,like_count,quote_count,hashtags,emojis
2022-09-30,"88% of executives think customers are changing faster than companies can keep up.  

Here’s why businesses must see and solve for the dynamic life forces that affect consumers’ behaviors and decisions. https://t.co/EDExB269D3 #LifeCentricity https://t.co/QomfMkOpoc",4,3,19,1,['LifeCentricity'],
2022-09-29,"Hot take: It’s time to redesign “pretty much everything.”

🎙️ In this #BuiltforChange episode, our very own @CottonMartha and @FjordMark explain why—and what that shift could mean for people and businesses. https://t.co/J9oL2YalWV https://t.co/rzQFyjFs7P",3,1,14,0,['BuiltforChange'],🎙
2022-09-29,"So happy to be #1 on the @Refinitiv Global Diversity &amp; Inclusion Index. Huge thanks to every one of our 721,000 people for making this happen. 💜👏 https://t.co/M3fvFFfSEU #LetThereBeChange https://t.co/ISQrutVJ0D",7,10,44,1,['LetThereBeChange'],💜👏
2022-09-28,"Music as a tool for speech therapy? 🎶🗣 #Saylists are a collection of playlists created to help kids with speech sound disorders. 

We wouldn’t be surprised if some of those kids become future contestants on #TheVoice.🎤 https://t.co/0oU5bSUeBN https://t.co/vtFz4lMYjO",3,6,20,0,"['Saylists', 'TheVoice']",🎶🗣🎤
2022-09-25,"RT @GlblCtzn: On the #GlobalCitizenFestival stage, @Accenture has announced that they will continue to invest in the winning ideas of their…",0,59,0,0,['GlobalCitizenFestival'],
2022-09-24,RT @GlblCtzn: #NowIsTheTime - Our partners are dedicated to making the world a better place and their employees are at the heart of that ca…,0,25,0,0,['NowIsTheTime'],
2022-09-23,"With all our shirts revealed, we want to hear from you–which is your favorite, and why? Check our profile to see them all. 🤗💜 https://t.co/mBu4poIUYX #GlobalCitizenFestival https://t.co/8rJLsckQyg",5,7,29,0,['GlobalCitizenFestival'],🤗💜
2022-09-23,"#ICYMI: We’re proud to continue our partnership with @Glblctzn. 💜🌍 This year, we designed a limited collection of t-shirts that represent impactful stories—our stories of change. See how we’re making a positive global impact: https://t.co/ohJvDlNBQ3 #GlobalCitizenFestival",2,6,24,0,"['ICYMI', 'GlobalCitizenFestival']",💜🌍
2022-09-22,"Electric vehicles are the cool kids on the block. 🚙🔋😎

We helped turn one of the largest automakers into an emission-free auto leader. Learn more and join us: https://t.co/h3n11IHMxQ #GlobalCitizenFestival https://t.co/3TEiqPoxWD",3,1,13,0,['GlobalCitizenFestival'],🚙🔋😎
2022-09-22,"RT @AccentureSong: 🌏 In 2021, we created the #WorldsToDoList with Project Everyone.

🌎 This week, we took the list back to the @UN Assembly…",0,8,0,0,['WorldsToDoList'],🌏🌎
2022-09-22,"Unlocking the secrets of space. 🔭🪐🌌

We teamed up with a space company to convert satellite geoinformation into actionable reports—better reaching sustainability targets. Let's shoot for the stars. Learn more and join us: https://t.co/brll8Jzcgn #GlobalCitizenFestival https://t.co/7Xuc5kkh2l",4,5,21,1,['GlobalCitizenFestival'],🔭🪐🌌
2022-09-22,"Coffee in the Netherlands to lunch in Germany. ☕️🥨

Using augmented reality, we created a virtual hyperloop experience for passengers to travel from Amsterdam to Berlin. Your next stop? Sustainable transportation. Learn more: https://t.co/PzFrHa4jLG #GlobalCitizenFestival https://t.co/CZ5yxjHciX",1,2,13,0,['GlobalCitizenFestival'],☕🥨
2022-09-22,"Futuristic car cockpits are taking the bold road. 🚗🚦

Imagine an onboard experience that is more comfortable, connected and energy efficient. A global leader in automotive technology is doing just that. Learn more and join us: https://t.co/WBVmDC1OyY #GlobalCitizenFestival https://t.co/vbpioyW1SQ",2,3,18,0,['GlobalCitizenFestival'],🚗🚦
2022-09-21,"Let's achieve net zero targets by 2050. 🙌😎 

Collaborating with the @UNEP, we built a structured guide to help businesses decarbonize the travel and tourism sector. Learn more and join us: https://t.co/2xqljUqm2O #GlobalCitizenFestival https://t.co/ZhygFDK9v5",1,4,14,1,['GlobalCitizenFestival'],🙌😎
2022-09-21,"Time to invest in #sustainability. 🏦🌱

Teaming up with a banking institution, we defined a strategic sustainability roadmap to help them continuously measure their ESG factors. Learn more and join us: https://t.co/gmp9mFzeCr #GlobalCitizenFestival https://t.co/SwyCDoJD5o",1,3,13,0,"['sustainability', 'GlobalCitizenFestival']",🏦🌱
2022-09-21,See how we helped a digital health startup better connect their users to healthcare providers and insurers. Just what the doctor ordered. 🩺👏🩻 Learn more and join us: https://t.co/fPgncV938q #GlobalCitizenFestival https://t.co/rLsX4tLIiO,1,3,22,0,['GlobalCitizenFestival'],🩺👏🩻
2022-09-21,"Betting on sustainable practices is the right business move. 👏🌊🌿

A global financial institution now has a company-wide sustainable finance program—a solid foundation for future initiatives. Learn more and join us: https://t.co/ACT6oz8GZC #GlobalCitizenFestival https://t.co/etXf65qBz5",1,3,13,0,['GlobalCitizenFestival'],👏🌊🌿
2022-09-20,@SFDOPartners Bringing some puppy love to #DF22 🐶,0,0,0,0,['DF22'],🐶
2022-09-20,"Let's help farmers simplify how they participate in trade. 🧑‍🌾🚜🌾

We joined forces with an agriculture company to optimize farming resources to feed more communities faster. Learn more and join us: https://t.co/JKmhkvXw37 #GlobalCitizenFestival https://t.co/1u7dyBV4zz",1,2,13,0,['GlobalCitizenFestival'],🧑🌾🚜🌾
2022-09-20,"The future of medicine is on the right track. 🔁❤️‍🩹

We developed a #blockchain solution to track and fight falsified medical products for one of the largest pharmaceutical distributors. Learn more and join us: https://t.co/b8NeClOtE9 #GlobalCitizenFestival https://t.co/PApeEp2f5H",1,1,10,0,"['blockchain', 'GlobalCitizenFestival']",🔁❤🩹
2022-09-20,"Putting words into action. 📝🏃

See how a printing company reduced their environmental impact by adding remote capabilities to commercial printers and launching products with less carbon dioxide. Learn more and join us: https://t.co/04qQaUTn50 #GlobalCitizenFestival https://t.co/FFoORKvQnT",1,4,14,0,['GlobalCitizenFestival'],📝🏃
2022-09-20,"AR is getting doctors even sharper in the OR. 🏥🫀

Using @Microsoft's HoloLens and collaborating with tech and surgical experts, we created an augmented reality solution to improve surgical care. Learn more and join us: https://t.co/e30V3coojf #GlobalCitizenFestival https://t.co/acm1nfNLOs",1,5,15,0,['GlobalCitizenFestival'],🏥🫀
2022-09-18,"What makes a home? The people in it. 🏡🛠👨‍👨‍👧‍👦

We partnered with a national housing agency by modernizing their systems—ultimately getting millions into their own homes faster. Learn more and join us: https://t.co/bJsQZiJ30V #GlobalCitizenFestival https://t.co/slD20ZKo0T",1,7,16,0,['GlobalCitizenFestival'],🏡🛠👨👨👧👦
2022-09-18,"Ready or not, here comes renewable energy. ⚡️🔥 

Making better use of data, one leading heating provider is improving and expanding its efficiency in generating and distributing clean heat. Learn more and join us: https://t.co/Vu5bPj2YAB #GlobalCitizenFestival https://t.co/7iHryTOOUB",1,1,17,1,['GlobalCitizenFestival'],⚡🔥
2022-09-18,"Eyes on a great cause means even greater activism support. 💜👀✨

We helped the world’s leading LGBTIQ+ media advocacy organization turn a live fashion show to a virtual one—leading to a billion media impressions. Learn more: https://t.co/aKn35lJr2o #GlobalCitizenFestival https://t.co/p0OXI64vH3",1,2,14,0,['GlobalCitizenFestival'],💜👀✨
2022-09-17,"Everyone deserves a chance to change their future path. 🤗💭 Using virtual reality, we're helping people formerly affected by the justice system to re-enter the workforce. Learn more and join us: https://t.co/8Se6wi1gUk #GlobalCitizenFestival https://t.co/VnAcQyUfT2",2,3,14,0,['GlobalCitizenFestival'],🤗💭
2022-09-17,"Moving businesses to the #cloud goes hand in hand with #sustainability. ☁️🌲 

Working with a retail cosmetics brand, we transformed them into a company that can sustainably innovate and grow. Learn more and join us: https://t.co/DtOAxeuVtq #GlobalCitizenFestival https://t.co/FKaxyO21EL",1,3,19,0,"['cloud', 'sustainability', 'GlobalCitizenFestival']",☁🌲
2022-09-17,"Aren't coral reefs beautiful? 🐠

We teamed up with tech and industry partners—and a coral conservation foundation—to protect one of our planet’s most precious resources using AI. Learn more and join us: https://t.co/AlWCsWVAQZ #GlobalCitizenFestival https://t.co/dSA3nUiP5W",10,6,69,3,['GlobalCitizenFestival'],🐠
2022-09-16,"Coming soon…the #LetThereBeChange World Tour. 🌏

Be sure to follow us on Instagram for more details! 🎶 🎤 https://t.co/Z2R10A0lbO https://t.co/4cb40tg7Lk",3,10,31,0,['LetThereBeChange'],🌏🎶🎤
2022-09-15,"Opinion: The only socially acceptable phone #lockscreen is—of course—your favorite furry (or reptilian) friend. 

Help us decide—which one should we choose? https://t.co/ZP92oFmVgq",6,4,30,0,['lockscreen'],
2022-09-15,We’re thrilled to be recognized as a top 10 #GPTW in Asia! We’re all about extraordinary people coming together to make every day anything but ordinary! https://t.co/PE45T2EEQE,0,4,14,1,['GPTW'],
2022-09-15,"43% of consumers say technology advances have complicated their lives just as much as they have simplified things.

Is your technology simplifying or complicating your customers’ lives? https://t.co/MlC44ww0l3 #LifeCentricity https://t.co/v5GirbLJPa",1,8,26,0,['LifeCentricity'],
2022-09-14,"Synthetic data can train AI models—in ways that real-world data can't. 🤖 

Whether used to accelerate medical advancements or improve fraud detection, the ""unreal"" has a lot of potential. Learn more about the benefits (and dangers) in #TechVision 2022: https://t.co/zGxwF5ATPv https://t.co/gStWk67SjE",2,2,28,0,['TechVision'],🤖
2022-09-14,"Quantum computing lead Carl is laying the foundations for what will become one of the most disruptive &amp; transformative technologies of all time. Discover his career journey &amp; be inspired to join our team of designers, creators &amp; strategists: https://t.co/BnQaMdUmwg #CareersAZ https://t.co/UuvUL8Hhsj",0,5,27,1,['CareersAZ'],
2022-09-13,"✅ Helping build sustainable futures.
✅ Elevating &amp; evolving experiences.
✅ Embracing change all around us. 

That's 360˚ Value. https://t.co/JpthXsKZPO #LetThereBeChange https://t.co/CIE8O9Cv7G",1,4,27,0,['LetThereBeChange'],✅✅✅
2022-09-12,"With an ambitious goal to cut annual GHG emissions by 186 million tons by 2050, #chemical companies will play a key role in the success of the EU Green Deal. Here’s why rebuilding and transforming the industry is the way forward: https://t.co/5RKqg2POYy https://t.co/yXB1s1q3GP",1,6,22,0,['chemical'],
2022-09-12,"Tired: Using AI technology to make deepfakes.
 
Wired: Using deepfake technology to make art, write, podcast and design.
 
This episode of our #BuiltforChange podcast will have you look at deepfakes in a whole new light. https://t.co/hKWqNFKVZv https://t.co/LgDICkLTMh",0,3,23,0,['BuiltforChange'],
2022-09-08,#Mining companies that choose the right initiatives to reduce #emissions can earn higher investor valuations. Which do you think would have the greatest impact on how investors value a mining company?,0,2,17,1,"['Mining', 'emissions']",
2022-09-08,"We're celebrating our @YahooFinance #WomenRoleModels who lead the way by championing women in business, driving change for gender diversity and demonstrating the incredible impact that can be achieved when we work together to accelerate equality for all. https://t.co/0jMIFOEuTC https://t.co/5SfV7PBXuN",1,2,15,0,['WomenRoleModels'],
2022-09-07,Why is the #mining industry now a champion of #decarbonization? Read our latest report for the insights. Spoiler alert – there are financial rewards: https://t.co/nGwf9o25BO https://t.co/cBMuNCFtgm,0,4,20,0,"['mining', 'decarbonization']",
2022-09-07,What are the implications of the EU Green Deal for #chemical companies and their customers? Read our report for insights: https://t.co/HKPIfuflFL #ClimateChange https://t.co/ZOrVvUXVfD,0,4,36,1,"['chemical', 'ClimateChange']",
2022-09-06,"🍹🍸🍹Cocktails at home, with just a push of a button, are possible thanks to our business strategist Kiara. Discover her exciting career and join us. https://t.co/CA3NsAhimA #CareersAZ https://t.co/qFuIVYaFVz",0,0,21,1,['CareersAZ'],🍹🍸🍹
2022-09-06,"With growing consumer sentiment that favors environmentally friendly products, #chemical companies that are committed to #sustainability and helping customers achieve their #NetZero goals are positioned to win. Here’s how: https://t.co/b4ZFuWRq5f https://t.co/b4ZFuWRq5f",1,6,30,0,"['chemical', 'sustainability', 'NetZero']",
2022-09-05,"We know about cloud-based software and cloud-based storage, but cloud-based brewing? It’s a thing—and it could be the secret to the perfect pint. More on our podcast #BuiltForChange: https://t.co/LZ43mRgyHp https://t.co/1teY2uC1Hs",4,1,28,0,['BuiltForChange'],
2022-09-05,Experts can envision a day when metal and mineral prices will be quoted based on their global #carbon footprint or #sustainability score. This is what needs to happen to get there: https://t.co/eUMRg4zekU https://t.co/zPSMVZF7I4,0,3,23,0,"['carbon', 'sustainability']",
2022-09-02,"Electrification is transforming the #automative ecosystem and to succeed, automakers must keep pace with the latest trends. See how leaders are leveraging smart, research-based insights from their peers: https://t.co/P5nPdO578h #ElectricVehicles https://t.co/B8ElxB6RUN",1,5,25,1,"['automative', 'ElectricVehicles']",
2022-09-02,"Harnessing imagination and technology helps take Dheeraj and his team to the forefront of the aircraft and auto industry. Learn how:
https://t.co/9641sEpEMF #CareersAZ https://t.co/LGW7l4t2BF",0,4,20,0,['CareersAZ'],
2022-09-01,"Whether it’s patients or providers, location-flexible #healthcare makes care easier by putting humans first. https://t.co/6yfF0hDDrA https://t.co/KSVtDTs638",1,2,16,0,['healthcare'],
2022-09-01,"The 20-year-old playbook for achieving relevance &amp; growth—customer centricity—is no longer enough.

Companies must evolve from a focus on consumption to contribution, and from customer-centric to life-centric view. Read why in our report: https://t.co/LNd9VRt9zV #LifeCentricity https://t.co/wZ8tRxpC7r",2,9,33,0,['LifeCentricity'],
2022-08-31,"The #automotive industry’s future is electric. ⚡ 

To plug into the new paradigm, automakers must do more than increase their manufacturing of #ElectricVehicles—they need to rethink their entire business model. https://t.co/YzKHDTY7HT https://t.co/lpL4pHYwxR",1,4,39,1,"['automotive', 'ElectricVehicles']",⚡
2022-08-30,"“Move fast and break things” is the near-universal mantra for the tech industry. But some founders are starting to run things differently.  
 
This episode of #BuiltforChange, we share how putting ethics first helps companies innovate faster than ever. https://t.co/ZUzmz82nQj https://t.co/XjNL63AtYe",0,6,24,0,['BuiltforChange'],
2022-08-30,"RT @VentureBeat: #Businesses, unlike people, don’t necessarily grow up and graduate into adulthood in a relatively fixed period. Instead, t…",0,4,0,0,['Businesses'],
2022-08-29,"Consumers crave—and expect—modernized experiences. With the ability to buy a car from the comfort of their own home, consumers are no longer satisfied with the traditional 🚗 buying experience.  https://t.co/Z0lylzgROP #Automotive https://t.co/cWrabPG2sf",0,2,15,0,['Automotive'],🚗
2022-08-28,We’re proud to have partnered with @SouthernCompany and @CocaCola as TOUR Championship @playofffinale sponsors. https://t.co/wbzWa5QYW0 #TOURChampionship https://t.co/TLncGgKGIH,0,5,29,0,['TOURChampionship'],
2022-08-26,We’re proud to partner with the #TOURChampionship @playofffinale and organizations like @FirstTeeATL and the @EastLakeFound to make a difference in our communities. Let’s make a difference—together. #golfwithapurpose https://t.co/7GH8nxhFnH https://t.co/kAjFyXDhQ6,0,1,20,0,"['TOURChampionship', 'golfwithapurpose']",
2022-08-25,We bring change to your business to help your business change the world. #LetThereBeChange https://t.co/g6mGKazmW9 https://t.co/wpTdmqgcsd,1,4,18,0,['LetThereBeChange'],
2022-08-25,Here’s why the next decade will be critical when it comes to the #energy transition and the urgency to act on #ClimateChange: https://t.co/uRmxwWO0qJ https://t.co/FpkjRCnK12,0,2,32,0,"['energy', 'ClimateChange']",
2022-08-24,"🔭 Quantum physicist by day.
😹 Cat meme extraordinaire by night.

To stay relevant, companies must embrace a life-centric view of their customers—multifaceted, complex and often paradoxical. Here's why: https://t.co/2tokqWXdhg #LifeCentricity https://t.co/rhGADXLzxM",0,5,17,0,['LifeCentricity'],🔭😹
2022-08-23,The world is driven by a need to act on climate change and the evolving #energy system is not exempt. What will it take to advance energy #sustainability goals around the globe? https://t.co/SCYzj91nMy https://t.co/HWgArPjJ9T,0,4,16,2,"['energy', 'sustainability']",
2022-08-23,"A tech-forward approach to drug discovery is drawing a brand-new roadmap. Our #BuiltForChange podcast 🎧 has more on how ""New Science"" is changing healthcare: https://t.co/sxDrr6KeP0 https://t.co/6U7wXakFYn",2,5,26,0,['BuiltForChange'],🎧
2022-08-22,"Creativity, technology and intelligence help Edwin build better web experiences for Philippine Airlines travelers and staff. Discover his career journey and be inspired to join our team of designers, creators and strategists: https://t.co/gwKFv7fl4o #CareersAZ https://t.co/twQOfOddqW",0,4,14,0,['CareersAZ'],
2022-08-22,"Retailers have already entered the #metaverse 🛍️

Whether recreating physical stores in the virtual world or offering NFT holders access to exclusive products, brands are experimenting with the ways customers interact with products. https://t.co/pcnvR8VHDN https://t.co/pcnvR8VHDN",0,10,33,2,['metaverse'],🛍
2022-08-19,The #payments landscape is changing rapidly—led by emerging digital technology and evolving consumer behavior. Learn the 3 enablers that will help leaders to thrive amid disruption and outgrow the competition: https://t.co/kNOaT03KEh https://t.co/4izGC6zmnf,0,6,26,1,['payments'],
2022-08-17,"The time to go big on data is now. Learn how travel companies can leverage a #data mindset to enhance customer experience, unlock sustainable cost savings, and power future growth: https://t.co/FyW4CY3qfV https://t.co/XHljcocONx",1,3,19,0,['data'],
2022-08-16,"Our @ana_flowers works tirelessly with our Pride community to impart training to allies and career development for our people in the LGBTIQ+ community. Thank you, Ana, for everything you do. https://t.co/L1nfosdZ5L #PrideAtAccenture #Pride2022 https://t.co/weRLFIVNIs",2,2,14,0,"['PrideAtAccenture', 'Pride2022']",
2022-08-16,"69% of consumers who say they behave inconsistently also think doing so is very human and totally acceptable. 

Our new research looks at how brands can meet customers’ ever-changing circumstances and priorities: https://t.co/yYeCrxCnW0 #LifeCentricity https://t.co/8evNUUiPIu",0,3,21,1,['LifeCentricity'],
2022-08-15,"#Data is a powerful asset and getting value from it is a crucial competitive differentiator. Leading #travel companies are leveraging data to improve customer experiences, operations, and fuel growth: https://t.co/UYVUwQJXiY https://t.co/eXzjKjpgrt",3,10,26,0,"['Data', 'travel']",
2022-08-15,Consumers today expect companies to reflect their values. Listen to how brands can meet changing expectations in episode 7 of the #BuiltForChange podcast 🎧: https://t.co/EFVb6q5TkX https://t.co/3dtA1V3oa4,2,5,18,0,['BuiltForChange'],🎧
2022-08-12,3 sets of machines are going to dramatically reduce the difficulty of solving some of the world's biggest challenges. Here's how: https://t.co/Gq04EL1lFG #TechVision https://t.co/KZKawbp5w2,3,3,16,0,['TechVision'],
2022-08-12,"If you’re not happy with your #cloud journey, then switch direction. Our latest point of view explores different routes that tell you what #security is needed to support business outcomes. https://t.co/6LLutthq1D https://t.co/dFhSIq9573",0,2,13,3,"['cloud', 'security']",
2022-08-12,"Mastering the art of AI maturity means designing AI responsibly. Whether you're just getting started or getting ready to scale, #ResponsibleAI must be embedded in every step of the process. Here’s why: https://t.co/xEfEHLbYrz https://t.co/FBiKUJcx5K",0,6,17,2,['ResponsibleAI'],
2022-08-11,"RT @pchauffard: #ITinfrastructure is the backbone of today's digital business. We outlined the key to success, here's a recap: 🧵",0,4,0,0,['ITinfrastructure'],🧵
2022-08-11,"#Security risks can be considered as a major barrier to #cloud adoption. However, a future-proof secure cloud can not only accelerate your journey to the cloud but also enable better business outcomes. Learn how: https://t.co/3KmpllRRSs https://t.co/ioCSTKX6ra",0,5,19,0,"['Security', 'cloud']",
2022-08-09,"Organizations recognize the opportunities offered by #cloud. Yet, 30% of CISOs surveyed don’t feel fully prepared for it. It’s time for #security teams to pivot from just managing risks to steering the cloud journey to success. Here’s how: https://t.co/WKFyYiXW2z https://t.co/Skb0ApR8DQ",0,2,16,2,"['cloud', 'security']",
2022-08-09,"Pride Means More. Pride means an unwavering commitment to inclusion, diversity and equality. #PrideAtAccenture #PrideMonth #Pride2022 https://t.co/7ybrDPj5KF https://t.co/XGGnQfVpjm",1,6,17,0,"['PrideAtAccenture', 'PrideMonth', 'Pride2022']",
2022-08-08,"🔭 Quantum physicist by day.
😹 Cat meme extraordinaire by night.

To stay relevant, companies must embrace a life-centric view of their customers—multifaceted, complex and often paradoxical. Here's why: https://t.co/3qxMX3JDMR #LifeCentricity https://t.co/GdTt1E2PB2",0,1,20,0,['LifeCentricity'],🔭😹
2022-08-08,1/3 of #government frontline workers feel they don’t belong in their #workplace. Learn how to create a true sense of belonging for your people. https://t.co/tVEPyJOF7u https://t.co/zJBBlZQfti,1,3,17,0,"['government', 'workplace']",
2022-08-05,How can brands develop a #SocialCommerce strategy that engages shoppers and keeps them coming back for more? Here’s how to identify the best approach to navigate—and excel—in this complex market: https://t.co/5bdLWRsG55 https://t.co/eNq73WGTsS,3,4,24,0,['SocialCommerce'],
2022-08-05,"✅ Helping build sustainable futures.
✅ Elevating &amp; evolving experiences.
✅ Embracing change all around us. 

That's 360˚ Value. https://t.co/eosTWJzEmd #LetThereBeChange https://t.co/Lrx7KDlK4a",1,1,18,0,['LetThereBeChange'],✅✅✅
2022-08-04,"From the digital, to the physical—and back again. Digital commerce has made the path to consumption increasingly fluid. Discover how we’re helping #CPGs rethink their foundations—and shape the future of commerce. https://t.co/wHKp9OQOgT https://t.co/d6zdK0GqCU",1,4,22,0,['CPGs'],
2022-08-03,"Consumers dream of a world where social media experiences and online shopping seamlessly come together. 🛍️ 

#SocialCommerce brings that vision to life, and it’s revolutionizing the future of shopping. https://t.co/oCyjizeCYJ https://t.co/6QIeFVvAeO",0,3,19,0,['SocialCommerce'],🛍
2022-08-03,"As an out, proud and visible leader, Zahara contributes immensely towards advancing our culture of equality for all. She motivates her team to have agency of their own lives and craft their unique story. https://t.co/mPdBvOKHgJ #PrideAtAccenture #Pride2022 https://t.co/4LwXAQaVhP",2,5,29,0,"['PrideAtAccenture', 'Pride2022']",
